timestep_index,time_fs,tdc_total_1_per_ps,atom001_cart1_1_per_ps,atom001_cart2_1_per_ps,atom001_cart3_1_per_ps,atom002_cart1_1_per_ps,atom002_cart2_1_per_ps,atom002_cart3_1_per_ps,atom003_cart1_1_per_ps,atom003_cart2_1_per_ps,atom003_cart3_1_per_ps,atom004_cart1_1_per_ps,atom004_cart2_1_per_ps,atom004_cart3_1_per_ps,atom005_cart1_1_per_ps,atom005_cart2_1_per_ps,atom005_cart3_1_per_ps,atom006_cart1_1_per_ps,atom006_cart2_1_per_ps,atom006_cart3_1_per_ps,atom007_cart1_1_per_ps,atom007_cart2_1_per_ps,atom007_cart3_1_per_ps,atom008_cart1_1_per_ps,atom008_cart2_1_per_ps,atom008_cart3_1_per_ps,atom009_cart1_1_per_ps,atom009_cart2_1_per_ps,atom009_cart3_1_per_ps,atom010_cart1_1_per_ps,atom010_cart2_1_per_ps,atom010_cart3_1_per_ps,atom011_cart1_1_per_ps,atom011_cart2_1_per_ps,atom011_cart3_1_per_ps,atom012_cart1_1_per_ps,atom012_cart2_1_per_ps,atom012_cart3_1_per_ps,atom013_cart1_1_per_ps,atom013_cart2_1_per_ps,atom013_cart3_1_per_ps,atom014_cart1_1_per_ps,atom014_cart2_1_per_ps,atom014_cart3_1_per_ps,atom015_cart1_1_per_ps,atom015_cart2_1_per_ps,atom015_cart3_1_per_ps,atom016_cart1_1_per_ps,atom016_cart2_1_per_ps,atom016_cart3_1_per_ps,atom017_cart1_1_per_ps,atom017_cart2_1_per_ps,atom017_cart3_1_per_ps,atom018_cart1_1_per_ps,atom018_cart2_1_per_ps,atom018_cart3_1_per_ps,atom019_cart1_1_per_ps,atom019_cart2_1_per_ps,atom019_cart3_1_per_ps,atom020_cart1_1_per_ps,atom020_cart2_1_per_ps,atom020_cart3_1_per_ps,atom021_cart1_1_per_ps,atom021_cart2_1_per_ps,atom021_cart3_1_per_ps,atom022_cart1_1_per_ps,atom022_cart2_1_per_ps,atom022_cart3_1_per_ps,atom023_cart1_1_per_ps,atom023_cart2_1_per_ps,atom023_cart3_1_per_ps,atom024_cart1_1_per_ps,atom024_cart2_1_per_ps,atom024_cart3_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps,atom028_cart1_1_per_ps,atom028_cart2_1_per_ps,atom028_cart3_1_per_ps,atom029_cart1_1_per_ps,atom029_cart2_1_per_ps,atom029_cart3_1_per_ps,atom030_cart1_1_per_ps,atom030_cart2_1_per_ps,atom030_cart3_1_per_ps
1,0.00362833,-0.36130001965296427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02296230863005297,-0.015014570613521521,-0.011825188118109198,0.010288952834799308,-0.03141402254803035,-0.29118477806303383,-0.014552268645434937,-0.09348729885491969,-0.017551557166737633,0.011730814732467117,-0.0158634772883209,-0.006093547791833911,-0.008533470836939429,0.1830702776627804,-0.004292178737606863,0.015890224656543855,0.024545641450192827,-0.0740512636952065
6,0.02176996,-0.35806032410146027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023092393919852003,-0.014604016551618545,-0.011705650005003116,0.009923239998446694,-0.030361115193281538,-0.2886247486918658,-0.016412837429493607,-0.08877196090083209,-0.017990678074371123,0.011626673561474345,-0.01599927899795183,-0.006006526334363629,-0.008689973310231427,0.18186007204747268,-0.00527648700960075,0.015217558836959744,0.02496331038806013,-0.07411551251540839
11,0.03991159,-0.354713972402293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02322209033274984,-0.014196715298559379,-0.01158763123963681,0.009552505276893735,-0.029298638223596293,-0.28603228847836104,-0.018253677142473144,-0.0840521387208515,-0.018417428606666446,0.011526698567458991,-0.01613695331517819,-0.005918684270711461,-0.008833505126799198,0.18061883904191278,-0.006231809406494798,0.014566691352914753,0.025376309902440896,-0.07417345638183603
16,0.05805322,-0.3512572043645111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023350356255934176,-0.013784326034938803,-0.01146867573226567,0.009175551408532693,-0.028229036445527926,-0.2834083379720667,-0.020076636880012128,-0.07931975472496226,-0.018833254333103,0.011430557966211527,-0.01627253707631221,-0.005833529565067266,-0.008964229086020584,0.1793464226239887,-0.007155702243645933,0.013930539836835032,0.025781814594815055,-0.07422571444503734
21,0.07619485,-0.3477103703754961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023480270395414705,-0.013372359543300419,-0.011348866852846223,0.00879623849452369,-0.027156259379765887,-0.28076554178229046,-0.021886304986451506,-0.07458106309391255,-0.019239876954466738,0.011338471850075898,-0.016407411065088133,-0.005749520737767866,-0.009083071532715432,0.17805156756056323,-0.008050272819269719,0.013309610748706938,0.026182926774923877,-0.07426836666100012
26,0.09433649,-0.34406441720465725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023609660389560954,-0.012955727344949475,-0.011227560021814685,0.008413232990539744,-0.026080708009323217,-0.27809910554132405,-0.02367915482332135,-0.06983504596465555,-0.019636779778477133,0.011250024008449273,-0.01654125242784818,-0.005667993518868029,-0.009188944240660335,0.17673092023324596,-0.008914303882314378,0.012703935824764947,0.026576939728685772,-0.07430323404722558
31,0.11247812,-0.3403269747621565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023738579137665854,-0.012534238567761577,-0.011104988605854293,0.008028023871435938,-0.025004500881376627,-0.2754160592708172,-0.02545872207093152,-0.0650837244715092,-0.020023797420144793,0.011165724071523475,-0.01667221611654864,-0.005589613021913922,-0.009282895863664079,0.17538416556011513,-0.009747711889997828,0.012114059238624754,0.026964876362705257,-0.07432677654837551
36,0.13061975,-0.3364708418247314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023865997692973106,-0.012109491610030896,-0.010982348866838926,0.007639062090985541,-0.0239276494976899,-0.27268708556433335,-0.027217420420124913,-0.06033419400458478,-0.020400371383280404,0.011084643632440746,-0.016799978686720264,-0.005513117308863077,-0.009364562432416505,0.17401433504264321,-0.01055199354459606,0.011538488350056844,0.027343964618278156,-0.07433712454668373
41,0.14876138,-0.3325184773617896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023992995192284622,-0.011684067274875781,-0.010859884173620707,0.007247537888373025,-0.02284938526387447,-0.26993183446929353,-0.028956945948668208,-0.05558814298606871,-0.020766546781868622,0.011006976393590152,-0.01692715488092459,-0.005437716767476106,-0.009434420961298078,0.17262045898704265,-0.011321642764776027,0.010980212381653481,0.027715635180597897,-0.07433856072801728
46,0.16690301,-0.3284826503062213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02412075903968531,-0.011255662889545305,-0.010736787246002452,0.006851620196623857,-0.02176769012352137,-0.2671487710338187,-0.030676377795821382,-0.050853873791889916,-0.02112331436569513,0.010932089564749474,-0.017052059865040867,-0.005364193686899137,-0.009494032625072823,0.17120362560615093,-0.01206183792965164,0.010436375188039528,0.028080904129867766,-0.07433190459900886
