timestep_index,time_fs,tdc_total_1_per_ps,atom001_cart1_1_per_ps,atom001_cart2_1_per_ps,atom001_cart3_1_per_ps,atom002_cart1_1_per_ps,atom002_cart2_1_per_ps,atom002_cart3_1_per_ps,atom003_cart1_1_per_ps,atom003_cart2_1_per_ps,atom003_cart3_1_per_ps,atom004_cart1_1_per_ps,atom004_cart2_1_per_ps,atom004_cart3_1_per_ps,atom005_cart1_1_per_ps,atom005_cart2_1_per_ps,atom005_cart3_1_per_ps,atom006_cart1_1_per_ps,atom006_cart2_1_per_ps,atom006_cart3_1_per_ps,atom007_cart1_1_per_ps,atom007_cart2_1_per_ps,atom007_cart3_1_per_ps,atom008_cart1_1_per_ps,atom008_cart2_1_per_ps,atom008_cart3_1_per_ps,atom009_cart1_1_per_ps,atom009_cart2_1_per_ps,atom009_cart3_1_per_ps,atom010_cart1_1_per_ps,atom010_cart2_1_per_ps,atom010_cart3_1_per_ps,atom011_cart1_1_per_ps,atom011_cart2_1_per_ps,atom011_cart3_1_per_ps,atom012_cart1_1_per_ps,atom012_cart2_1_per_ps,atom012_cart3_1_per_ps,atom013_cart1_1_per_ps,atom013_cart2_1_per_ps,atom013_cart3_1_per_ps,atom014_cart1_1_per_ps,atom014_cart2_1_per_ps,atom014_cart3_1_per_ps,atom015_cart1_1_per_ps,atom015_cart2_1_per_ps,atom015_cart3_1_per_ps,atom016_cart1_1_per_ps,atom016_cart2_1_per_ps,atom016_cart3_1_per_ps,atom017_cart1_1_per_ps,atom017_cart2_1_per_ps,atom017_cart3_1_per_ps,atom018_cart1_1_per_ps,atom018_cart2_1_per_ps,atom018_cart3_1_per_ps,atom019_cart1_1_per_ps,atom019_cart2_1_per_ps,atom019_cart3_1_per_ps,atom020_cart1_1_per_ps,atom020_cart2_1_per_ps,atom020_cart3_1_per_ps,atom021_cart1_1_per_ps,atom021_cart2_1_per_ps,atom021_cart3_1_per_ps,atom022_cart1_1_per_ps,atom022_cart2_1_per_ps,atom022_cart3_1_per_ps,atom023_cart1_1_per_ps,atom023_cart2_1_per_ps,atom023_cart3_1_per_ps,atom024_cart1_1_per_ps,atom024_cart2_1_per_ps,atom024_cart3_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps,atom028_cart1_1_per_ps,atom028_cart2_1_per_ps,atom028_cart3_1_per_ps,atom029_cart1_1_per_ps,atom029_cart2_1_per_ps,atom029_cart3_1_per_ps,atom030_cart1_1_per_ps,atom030_cart2_1_per_ps,atom030_cart3_1_per_ps
1,0.00362833,-0.1076847805608414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0334839292626863,-0.009008465527169236,-0.010472574515141915,0.009325297901816236,-0.029366125352835965,-0.08420302504028075,0.033263474842304554,-0.1348322829082289,0.05439216747997089,0.00037629544968993775,0.0012098417008377521,-0.00029718526301378685,-0.011736251540512749,-0.0018360385585639415,-0.016957220269366958,-0.0006118991620397534,-0.029032103548243544,0.08861738448725044
6,0.02176996,-0.09581610603758718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.033636655491369113,-0.00896074604020913,-0.010369626650277275,0.009145961828246094,-0.028831448238937202,-0.0834759988154124,0.03750218923308135,-0.1294894011867309,0.05670192925306233,0.0004111912324372744,0.0012493219900700779,-0.0002926773621239635,-0.011442748137503332,-0.0018120950858850492,-0.01796474248701843,-0.0005306963714449706,-0.029369907146089596,0.08807673245577886
11,0.03991159,-0.08374789217984407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03378722887165112,-0.00890290094892036,-0.010267642772668444,0.008947643388212127,-0.028254021439721812,-0.08274126189995763,0.04168934523736609,-0.12397240712545401,0.05901626339265556,0.000445322649706056,0.001289099130501318,-0.0002880381264523954,-0.011154381598796548,-0.0017688151914716016,-0.0189603875997254,-0.0004542758973614749,-0.02970266743737908,0.08754400518797242
16,0.05805322,-0.07146352450410626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03393399524523912,-0.008829895006980334,-0.010164732678027187,0.008729178527628282,-0.027636173737744414,-0.08200210529241056,0.04582866812723763,-0.11827044116793227,0.06133850478711562,0.0004786458471648543,0.0013288870587498146,-0.0002834341696656042,-0.010870767259524811,-0.0017056348554297057,-0.019944306575604184,-0.0003818754227940448,-0.030030208711970277,0.08701817078084184
21,0.07619485,-0.05896254396187483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.034081270035485126,-0.00874506342564544,-0.010060817354018897,0.008494481911783293,-0.026981352467875704,-0.08126034905059099,0.04992915333443316,-0.11239450475668743,0.06367099460743031,0.0005112638846124453,0.0013687965895827893,-0.0002787775111234024,-0.0105920235258761,-0.0016241219710383182,-0.02091753537337048,-0.0003136779330378194,-0.03035400988294824,0.08650372892701083
26,0.09433649,-0.046256829126022664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03422575892903662,-0.008645103923159675,-0.009955077204198656,0.008242435554523416,-0.026290282764957106,-0.080512780877636,0.05398168855294629,-0.10634455372699597,0.06600989402333775,0.0005431236911241042,0.0014088055064148375,-0.0002741402276355456,-0.010317052525368114,-0.0015229560709314324,-0.021879139081595615,-0.00024958860654535953,-0.030673681916771677,0.08599582154238944
31,0.11247812,-0.03341772730382367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03436745114861697,-0.008529838928447308,-0.009847913686896472,0.00797467408873332,-0.025565303272786374,-0.0798276962245745,0.05799383997005292,-0.10012567790339037,0.06835173577561206,0.0005742799823839916,0.0014487619471667227,-0.00026955961446462013,-0.010045310186845095,-0.0014023381295434232,-0.02282902129496139,-0.00018958337001073692,-0.030987405145637362,0.08549117754116801
36,0.13061975,-0.02033616629670514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03450463801858059,-0.008400269720544935,-0.00974029278614595,0.007690130085870848,-0.024806102474959835,-0.07905612054486014,0.06194706568508039,-0.0937500906974085,0.07069249543388341,0.0006047227617146332,0.0014886414268107011,-0.0002649749529798334,-0.00977657644729581,-0.0012622494959667664,-0.023767545165673327,-0.00013350233778357612,-0.031294587152124374,0.08498845206709732
41,0.14876138,-0.007100093732137626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03463884819219829,-0.00825811764939629,-0.009632366973811151,0.007390215717590446,-0.02401178657294859,-0.07828676073866649,0.06584400755367881,-0.08722269350063215,0.07302902956709999,0.0006344417839699984,0.0015286679626050476,-0.0002603464585563361,-0.009511504984994769,-0.0011025443689450113,-0.024694463197081042,-8.146616337619282e-05,-0.03159567257679447,0.0844924186759223
46,0.16690301,0.006286293528622745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.034771491554000174,-0.008101808624936244,-0.009523581031418208,0.007073118276679708,-0.023181135978906895,-0.07750719293360422,0.06968188659986202,-0.08056002620885779,0.0753632421452378,0.0006633961746226349,0.0015686996300522964,-0.0002557109589356752,-0.009250352249228376,-0.0009234679362898947,-0.025609496136297916,-3.3268811833101e-05,-0.03189108231965689,0.0840015823381333
