timestep_index,time_fs,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
306,1.11026787,-6.965295744884471,-6.205287857134366,-5.9384116451816515,-5.782184787110025,-2.622131850348031,-2.2029527061391896,-1.4598589239427557,-1.0534606657441572,-0.6276041714017343
311,1.1284095,-6.96555174134722,-6.2069859155994695,-5.9387903491760135,-5.781366938725106,-2.621347597367599,-2.202631123444263,-1.4589804975212568,-1.0506637801563985,-0.6285274090465371
316,1.14655114,-6.965807930985859,-6.208681525822785,-5.939174426065179,-5.780542784304017,-2.6205580409589735,-2.2023116091396777,-1.4581025428247167,-1.0478289654517356,-0.6294584811045095
321,1.16469277,-6.966064320934671,-6.210374357760961,-5.939563774036905,-5.779712572796492,-2.6197632681379273,-2.201994196306575,-1.4572253533140034,-1.0449572021972384,-0.6303973908687145
326,1.1828344,-6.966320913853449,-6.212064088061516,-5.939958280293163,-5.778876541547605,-2.618963367886383,-2.201678926305822,-1.4563492266278777,-1.0420496000687625,-0.631344135091414
331,1.20097603,-6.9665777153700095,-6.213750423547418,-5.940357845810679,-5.778034929785902,-2.6181584131767655,-2.201365839953358,-1.4554744480791124,-1.0391072747291872,-0.6322987085465067
336,1.21911766,-6.966834727264264,-6.21543306766204,-5.940762367802522,-5.777187979686094,-2.6173485042761335,-2.2010549796098258,-1.4546012946473725,-1.036131354543106,-0.6332611011431161
341,1.2372593,-6.967091951965409,-6.217111747106157,-5.941171752574745,-5.776335919471151,-2.616533732930297,-2.2007463709959865,-1.4537300454717335,-1.0331230070747506,-0.6342312987004438
346,1.25540093,-6.967349394593922,-6.218786177441329,-5.941585902964793,-5.775478979266046,-2.6157141900827603,-2.2004400571150717,-1.4528609643723591,-1.0300833535535203,-0.6352092892839923
351,1.27354256,-6.96760705633344,-6.2204560642531,-5.942004723499435,-5.774617386509569,-2.6148899578624554,-2.2001360718414507,-1.4519943012591927,-1.0270135826379716,-0.636195052969922
356,1.29168419,-6.967864949116004,-6.222121091504592,-5.942428125017821,-5.773751360835895,-2.6140611331778243,-2.1998344496474824,-1.4511302982691494,-1.0239148616824083,-0.6371885848870132
361,1.30982582,-6.968123072596233,-6.22378093768296,-5.942856019230226,-5.772881117563252,-2.6132278017040904,-2.1995352332047164,-1.4502692010941407,-1.0207884654994122,-0.6381898727274927
366,1.32796746,-6.968381429375483,-6.225435294925547,-5.943288322348308,-5.772006872898848,-2.6123900533430118,-2.1992384654895205,-1.4494112505781518,-1.017635654921537,-0.639198902027457
371,1.34610909,-6.968640019199994,-6.227083864707968,-5.943724956967478,-5.771128845281513,-2.6115479790673035,-2.1989441751808623,-1.4485566637684,-1.0144576789313493,-0.6402156480062896
376,1.36425072,-6.968898838574808,-6.228726379729082,-5.9441658423039945,-5.770247242252417,-2.610701672638079,-2.198652387588511,-1.4477056771232968,-1.011255848046846,-0.6412400998971169
381,1.38239235,-6.969157895182372,-6.230362553068866,-5.94461089166601,-5.769362268198334,-2.6098512385974733,-2.198363142500743,-1.4468585010650301,-1.0080314942121869,-0.6422722467073164
386,1.40053398,-6.969417200954744,-6.231992119042119,-5.945060024517752,-5.768474128459811,-2.608996770914445,-2.198076495359565,-1.446015349244366,-1.0047860155947852,-0.643312068330967
391,1.41867561,-6.969676759007646,-6.233614798057432,-5.945513173453215,-5.767583018036903,-2.6081383715365543,-2.1977924841930907,-1.4451764106735927,-1.0015208718433053,-0.6443595489731072
396,1.43681725,-6.96993657683956,-6.23523030411257,-5.945970276567864,-5.766689127344687,-2.6072761289491537,-2.1975111446525752,-1.444341890647282,-0.9982375468181621,-0.6454146750269135
401,1.45495888,-6.970196655020352,-6.236838349169147,-5.9464312670971395,-5.76579265922578,-2.606410137106583,-2.197232525284264,-1.4435120062992088,-0.9949375532513801,-0.646477410903767
406,1.47310051,-6.97045699520661,-6.238438645207561,-5.9468960894986855,-5.764893799255822,-2.605540494191685,-2.1969566478707936,-1.4426869378074931,-0.9916223867168219,-0.6475477322021942
411,1.49124214,-6.970717607098465,-6.2400309366581475,-5.947364678350403,-5.7639927410856595,-2.604667285568249,-2.196683554181942,-1.4418668578579064,-0.9882935271760597,-0.6486256188659888
416,1.50938377,-6.970978494599363,-6.241614960527224,-5.947836973911378,-5.763089678013416,-2.6037906046444736,-2.196413282617972,-1.4410519509072837,-0.9849524972504841,-0.6497110528419531
421,1.52752541,-6.971239665251752,-6.243190462628478,-5.948312914849554,-5.762184790929134,-2.602910547964287,-2.1961458711336417,-1.4402423612861364,-0.9816007909851356,-0.650803999680499
431,1.56380867,-6.971762855770466,-6.246314890066928,-5.949275506005756,-5.760370268573512,-2.601140664803736,-2.195619791123501,-1.4386397514739395,-0.9748712830890273,-0.6530123524273517
436,1.5819503,-6.972024881539546,-6.247863275904221,-5.9497620485238,-5.759460985321305,-2.600251019825101,-2.1953611777420683,-1.437847006357384,-0.9714964038185309,-0.6541276904376403
441,1.60009193,-6.972287203457162,-6.249402056507718,-5.950252019092206,-5.758550599032224,-2.5993583620248386,-2.1951055593276547,-1.4370601470628208,-0.968116788244888,-0.6552504398199767
446,1.61823357,-6.972549824623989,-6.250930947944695,-5.950745380218243,-5.757639279204065,-2.5984627885712754,-2.1948529570336466,-1.436279302430851,-0.9647339552449312,-0.6563805654545211
451,1.6363752,-6.9728127469676675,-6.252449686630498,-5.951242076681206,-5.756727197770253,-2.597564385297762,-2.194603423164963,-1.4355045980556531,-0.9613494383189484,-0.6575180340351111
456,1.65451683,-6.973075984160959,-6.253958023651108,-5.951742070176882,-5.755814518996486,-2.5966632562876764,-2.194357000590863,-1.4347361462258683,-0.9579647769000638,-0.6586628292531597
461,1.67265846,-6.973339532181163,-6.255455717511799,-5.952245319185921,-5.754901401025549,-2.5957594909659663,-2.1941137217314863,-1.4339740715596199,-0.9545815192394203,-0.659814920651093
466,1.69080009,-6.973603405746318,-6.256942519106451,-5.952751787190009,-5.753988012606559,-2.594853189585063,-2.1938736185829906,-1.433218469685217,-0.9512012101912549,-0.660974284103144
471,1.70894173,-6.973867626855986,-6.258418183352177,-5.9532614668513935,-5.753074531991822,-2.593944460633649,-2.1936367343938437,-1.432469464673972,-0.947825389693329,-0.6621409096162911
476,1.72708336,-6.974132165385164,-6.259882419643645,-5.953774288748589,-5.752161069113118,-2.593033354619354,-2.1934030497137154,-1.431727108220774,-0.944455592892753,-0.663314725940947
481,1.74522499,-6.97439703463313,-6.261335002355289,-5.954290235753512,-5.751247796681186,-2.592119978850715,-2.193172620817926,-1.4309915285280643,-0.941093423785521,-0.6644957212507955
486,1.76336662,-6.974662241740517,-6.262775694013094,-5.954809275122557,-5.7503348700098735,-2.5912044208814042,-2.1929454757824414,-1.4302627888643007,-0.9377402250707039,-0.665683849640807
491,1.78150825,-6.974927797124733,-6.2642042561697036,-5.955331376631074,-5.749422426342374,-2.5902867750030474,-2.192721642543221,-1.429540963191778,-0.9343975627353378,-0.6668790763018037
496,1.79964988,-6.9751937144085625,-6.265620439288433,-5.955856509171242,-5.748510613948695,-2.5893671371701945,-2.1925011597427644,-1.4288261388692036,-0.9310669327125678,-0.6680813626077543
501,1.81779152,-6.975459993403076,-6.267024002470181,-5.956384656668405,-5.747599582195866,-2.5884455985511026,-2.1922840507546812,-1.428118388745315,-0.9277498575627215,-0.6692906754542324
