timestep_index,time_fs,tdc_total_1_per_ps,atom001_cart1_1_per_ps,atom001_cart2_1_per_ps,atom001_cart3_1_per_ps,atom002_cart1_1_per_ps,atom002_cart2_1_per_ps,atom002_cart3_1_per_ps,atom003_cart1_1_per_ps,atom003_cart2_1_per_ps,atom003_cart3_1_per_ps,atom004_cart1_1_per_ps,atom004_cart2_1_per_ps,atom004_cart3_1_per_ps,atom005_cart1_1_per_ps,atom005_cart2_1_per_ps,atom005_cart3_1_per_ps,atom006_cart1_1_per_ps,atom006_cart2_1_per_ps,atom006_cart3_1_per_ps,atom007_cart1_1_per_ps,atom007_cart2_1_per_ps,atom007_cart3_1_per_ps,atom008_cart1_1_per_ps,atom008_cart2_1_per_ps,atom008_cart3_1_per_ps,atom009_cart1_1_per_ps,atom009_cart2_1_per_ps,atom009_cart3_1_per_ps,atom010_cart1_1_per_ps,atom010_cart2_1_per_ps,atom010_cart3_1_per_ps,atom011_cart1_1_per_ps,atom011_cart2_1_per_ps,atom011_cart3_1_per_ps,atom012_cart1_1_per_ps,atom012_cart2_1_per_ps,atom012_cart3_1_per_ps,atom013_cart1_1_per_ps,atom013_cart2_1_per_ps,atom013_cart3_1_per_ps,atom014_cart1_1_per_ps,atom014_cart2_1_per_ps,atom014_cart3_1_per_ps,atom015_cart1_1_per_ps,atom015_cart2_1_per_ps,atom015_cart3_1_per_ps,atom016_cart1_1_per_ps,atom016_cart2_1_per_ps,atom016_cart3_1_per_ps,atom017_cart1_1_per_ps,atom017_cart2_1_per_ps,atom017_cart3_1_per_ps,atom018_cart1_1_per_ps,atom018_cart2_1_per_ps,atom018_cart3_1_per_ps,atom019_cart1_1_per_ps,atom019_cart2_1_per_ps,atom019_cart3_1_per_ps,atom020_cart1_1_per_ps,atom020_cart2_1_per_ps,atom020_cart3_1_per_ps,atom021_cart1_1_per_ps,atom021_cart2_1_per_ps,atom021_cart3_1_per_ps,atom022_cart1_1_per_ps,atom022_cart2_1_per_ps,atom022_cart3_1_per_ps,atom023_cart1_1_per_ps,atom023_cart2_1_per_ps,atom023_cart3_1_per_ps,atom024_cart1_1_per_ps,atom024_cart2_1_per_ps,atom024_cart3_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps,atom028_cart1_1_per_ps,atom028_cart2_1_per_ps,atom028_cart3_1_per_ps,atom029_cart1_1_per_ps,atom029_cart2_1_per_ps,atom029_cart3_1_per_ps,atom030_cart1_1_per_ps,atom030_cart2_1_per_ps,atom030_cart3_1_per_ps
1,0.00362833,15.044480894514068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.1362462455746853,5.642890362162627,-9.002246232811597,-0.5319433422212535,-10.432459356025234,-2.9544052264389173,-2.9855686471650182,38.472034163810584,-9.724488464809783,2.0506010986010343,0.05251127544635567,-0.11103727387442079,2.268934942825863,-1.891165400484135,6.518938574130011,2.632018299569897,-1.70515561056723,-0.11873202206003136
6,0.02176996,12.797010229562382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.1918242381790844,5.5417336467915925,-9.019740157466071,-0.5176666231480167,-10.198468296204334,-2.7368091967563783,-3.400183796997687,36.763723987865795,-10.145672469005424,2.050337930753728,0.05279350318650464,-0.11032792377421906,2.2611872840309064,-1.8936316022443143,6.601801987301184,2.5650516062203703,-1.711000959038499,-0.11429445377366998
11,0.03991159,10.518960013984628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.247185583809249,5.437874089390912,-9.035347482834117,-0.5027830848416859,-9.95355115309962,-2.5262913899299733,-3.817335611633818,35.02581018517511,-10.566220080509959,2.0496397253701937,0.0530589672388339,-0.10953832434029515,2.2529313040364345,-1.895887031430793,6.682235501289545,2.497876760819492,-1.7163051491029402,-0.11002162780344144
16,0.05805322,8.204106019893725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.3021247083629057,5.3281369456717185,-9.04708356801758,-0.48722055243949836,-9.698268307465051,-2.3226772989288067,-4.237398884514906,33.25514589315949,-10.986598609186784,2.048481142112535,0.053293625200021844,-0.1087334861993956,2.2441211128612504,-1.8979516794252798,6.760236537628289,2.4296333946961024,-1.7210164470079763,-0.10586908988749025
21,0.07619485,5.8550849814181785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.3570250348859676,5.214666145225434,-9.055000406582502,-0.4711740638123529,-9.433906138510928,-2.126541277533503,-4.660641231509147,31.455250988614967,-11.40712763374567,2.0468652052091403,0.053501116906004495,-0.10788564047925944,2.234803205771628,-1.899911801275631,6.835974188352028,2.3603146889462185,-1.72521075672701,-0.1018665725452733
26,0.09433649,3.4728398600718986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.4115440502015852,5.095504798112735,-9.058461603792884,-0.45457641469468457,-9.160421609140757,-1.9375771813006524,-5.086099283635574,29.625635131042948,-11.826696600681592,2.044793250005766,0.05368072865797732,-0.10702035143709138,2.224791186923934,-1.901718827906559,6.909337887141453,2.2901150400058308,-1.72887673273017,-0.09802550629719532
31,0.11247812,1.0350828394265346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.465623357609587,4.970604785834143,-9.057642433757604,-0.43749344038725557,-8.878478132947379,-1.7782756329782388,-5.514211441064859,27.767480832561212,-12.244979734968542,2.042290782066635,0.05382529286310433,-0.10615151036891317,2.213976027588849,-1.903364356686912,6.980169581962596,2.219219173920121,-1.7318962008932852,-0.09436739570755417
36,0.13061975,-1.4069103813887898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.5190658084098145,4.8405949276185805,-9.053432136298127,-0.41983223396198455,-8.587992292434837,-1.6045991989183124,-5.9429435896660365,25.884365361942987,-12.660189423663557,2.039297387430488,0.05393179315638724,-0.10526092138297878,2.2023196768487745,-1.9048809200548404,7.048398504958552,2.147475807566174,-1.7342094102670507,-0.09088790585319603
41,0.14876138,-3.8715670420643726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.5719764305911235,4.706572839349779,-9.04603126154482,-0.40166793536660655,-8.288715109352674,-1.4384539068263578,-6.372241963791108,23.977387460272656,-13.071808472680987,2.0358603388962826,0.054011147286624386,-0.10433083795332063,2.1899746012888106,-1.9062433817311617,7.114015073138377,2.0754929778292235,-1.7358463401250375,-0.08756584016292698
46,0.16690301,-6.354342641892936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.6244703582566453,4.567658650455659,-9.034722603281658,-0.3828840242082259,-7.979600638482493,-1.2799591681401374,-6.8015677000957435,22.05083007475429,-13.480062630695071,2.0317940062512427,0.05405466994004701,-0.1033802425042556,2.177020493784573,-1.9074639249007355,7.176723395521744,2.0029558288768814,-1.7368309893229315,-0.08443748158948103
