timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.4877099579623728,-0.02296922988374122,-0.01501456736713958,-0.01182518812578434,0.01028895283035145,-0.03141402260632694,-0.2911847781144593,-0.01455226863940105,-0.09348729886705409,-0.01755155718881776
6,0.02176996,-0.4816471453959275,-0.02309938166086663,-0.01460401334615227,-0.01170565001857001,0.009923239997116853,-0.03036111517597342,-0.2886247487779848,-0.01641283742608921,-0.0887719609004881,-0.0179906780869199
11,0.03991159,-0.4755151539194382,-0.02322914463087398,-0.01419671213068846,-0.0115876312399735,0.009552505277954466,-0.02929863822359744,-0.2860322885285403,-0.01825367714109212,-0.0840521386992706,-0.01841742860335626
16,0.05805322,-0.4693019444456188,-0.02335747680334146,-0.01378432292292866,-0.01146867572072045,0.009175551409588116,-0.02822903643548804,-0.2834083380056862,-0.02007663687797729,-0.07931975474125549,-0.01883325434780942
21,0.07619485,-0.46304149254022,-0.02348746143239215,-0.01337235648709699,-0.0113488668500971,0.008796238491887208,-0.02715625936200525,-0.2807655418426615,-0.02188630499163589,-0.07458106310667019,-0.01923987695954807
26,0.09433649,-0.4567177637383836,-0.02361691829061681,-0.01295572434773444,-0.01122756001923651,0.008413232993849334,-0.02608070802675895,-0.2780991055031715,-0.02367915481990022,-0.06983504596621598,-0.01963677975859858
31,0.11247812,-0.4503439082239857,-0.02374590377164039,-0.01253423563117038,-0.01110498859922635,0.008028023870136557,-0.02500450087174355,-0.2754160592568811,-0.02545872207386281,-0.06508372446440898,-0.02002379742518873
36,0.13061975,-0.4438928850458766,-0.02387338855655578,-0.01210948874297994,-0.0109823488675201,0.007639062095188893,-0.02392764951246782,-0.2726870856425714,-0.027217420419652,-0.06033419402200597,-0.02040037137731246
41,0.14876138,-0.4373897182918302,-0.02400045211156925,-0.01168406447668111,-0.01085988418027695,0.007247537884970833,-0.02284938525883301,-0.2699318344489892,-0.02895694594366848,-0.0555881429874324,-0.02076654676935055
46,0.16690301,-0.4308391364617064,-0.02412828215905651,-0.01125566016509966,-0.01073678725236608,0.006851620197665992,-0.02176769008261083,-0.2671487710349352,-0.03067637779107927,-0.05085387379253409,-0.02112331438169068
51,0.18504465,-0.4242429883563368,-0.02425804974207019,-0.01082559631076318,-0.0106129391167871,0.006453431228173569,-0.02068492366272193,-0.2643389716438699,-0.03237427317047811,-0.046132114829889,-0.02146955110793096
56,0.20318628,-0.4176058754895585,-0.0243872065953207,-0.01039212767092835,-0.01048850806698159,0.006052547603509689,-0.01960077856070634,-0.2615041353080789,-0.0340541734263126,-0.04142317269512413,-0.02180832076961549
61,0.22132791,-0.4109324778687261,-0.02451340019647798,-0.00995796253664436,-0.0103636182441962,0.005647279203349661,-0.01851458972864221,-0.2586479936949244,-0.0357148626114299,-0.03672987652239878,-0.02213745353736192
66,0.23946954,-0.4042246490377235,-0.0246407854151602,-0.009521231429992767,-0.01023778065338979,0.005238733615678186,-0.01742605363339142,-0.2557681385500582,-0.03735689293840386,-0.03205243125466754,-0.02246006877833796
71,0.25761117,-0.3974780841856653,-0.02476578630677696,-0.009083627590548546,-0.01011144810858269,0.004826367295296226,-0.01633381875471604,-0.2528605404006886,-0.03897882359902942,-0.02739556690240935,-0.02277483981820991
76,0.2757528,-0.3906983741026747,-0.02489004598952735,-0.008644168412446682,-0.009985181597731988,0.00440967863676745,-0.01523893105691947,-0.2499254446157139,-0.04058290184417438,-0.02275855084341376,-0.02308282837951454
81,0.29389444,-0.3838775171231853,-0.02501533372480298,-0.008202823219915525,-0.009858658966101289,0.003990317357418663,-0.01414041940008736,-0.2469585345507163,-0.04216476536164097,-0.01814380688121542,-0.02338349237612411
86,0.31203607,-0.3770262035704742,-0.02514148957542061,-0.007760419681078496,-0.009731974919940668,0.003566896227116399,-0.01303793957344369,-0.2439636336752716,-0.04372760019165572,-0.01355269566110009,-0.02367734651967975
91,0.3301777,-0.3701374783905018,-0.02526548464362875,-0.00731641688818494,-0.009604712358764521,0.003139826477124698,-0.01193235158123112,-0.2409421735390972,-0.04526898752623879,-0.008983026434096611,-0.02396415189638464
96,0.34831933,-0.3632334379851813,-0.02538794723857796,-0.006871995496377508,-0.009476965769350048,0.00270792257164391,-0.0108249949887247,-0.2379042359183263,-0.04679423861287628,-0.004435628316394911,-0.02424535421619749
101,0.36646096,-0.3563136462452224,-0.0255096206203316,-0.006427338117743478,-0.00934832271453372,0.002272670740871036,-0.009717036171969876,-0.2348508539721937,-0.04830155470872496,8.88405331484572e-05,-0.02452043121374454
106,0.3846026,-0.3493850731065942,-0.02563038869435661,-0.005984019078383296,-0.009219185088601494,0.001835964739279557,-0.008609428776905464,-0.2317843068316788,-0.04979152124965549,0.004587371401057695,-0.0247895595273503
111,0.40274423,-0.3424420101499508,-0.025750892015111,-0.005538616609950431,-0.009089544637564537,0.001397536523331863,-0.007500938996646647,-0.2286998222681956,-0.05126023949252854,0.00905324406961929,-0.02505273672290512
116,0.42088586,-0.3354895658718359,-0.02587131972340161,-0.005092862396508473,-0.008959375993557372,0.0009583939505721619,-0.006390898409269023,-0.2255987852691656,-0.05270826376330408,0.01348365002619769,-0.02531010429339961
121,0.43902749,-0.3285313425445468,-0.02599052751979185,-0.004647120372385659,-0.008829451540579484,0.0005155399202427266,-0.005279638551679205,-0.2224800865048514,-0.05413378723034111,0.01787506102811868,-0.02556133177327944
126,0.45716912,-0.3215677899302028,-0.02610895843360923,-0.004200828159162865,-0.008699527898811964,6.968484378931235e-05,-0.004167175723597937,-0.2193448914807277,-0.05553845532856033,0.02222763045152675,-0.02580526820104879
