timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.1604552515952854,-0.0001751191162773285,0.0114965086314716,-0.04061625962461529,-0.003046512465807437,0.05477513359095072,-0.1346022344124378,0.007795896577026936,0.02488814002617648,-0.08097080480177331
6,0.02176996,-0.1666600294191612,-0.0001366611377319597,0.01119406496081346,-0.04069462833875536,-0.002950659604091182,0.05341666811905166,-0.1352992219628901,0.008890568137078033,0.02313561141545744,-0.08421577100809322
11,0.03991159,-0.1728164207960664,-9.733936481006318e-05,0.01089223376642181,-0.04077022803836013,-0.002852309141868215,0.05200365918674436,-0.1359651369200835,0.009996076532336692,0.0214317282981944,-0.08745510511464183
16,0.05805322,-0.1789211495416749,-5.717941688408184e-05,0.0105846779888353,-0.04083422929367937,-0.002751089002724666,0.05054033102242136,-0.1365977303835787,0.01111304258764798,0.01977495111235431,-0.09069392415606707
21,0.07619485,-0.1849714565037099,-1.622080330817295e-05,0.01027579193417853,-0.04088687779757847,-0.002648117329139669,0.04903385472871533,-0.1372043601002291,0.01224330859964672,0.01816774289456101,-0.09393657863055604
26,0.09433649,-0.190957112613545,2.553726591203887e-05,0.009961739114061511,-0.04092541206806553,-0.002542975851752789,0.04748496989929248,-0.1377790480132935,0.01338446869281283,0.01661068493518654,-0.09717707658769854
31,0.11247812,-0.1970618905809288,6.803793407702517e-05,0.009642541213965941,-0.04095064688495505,-0.002436062619184471,0.04589777436105846,-0.1385153364892954,0.01453816549265329,0.01510488755836611,-0.1004112511476148
36,0.13061975,-0.2029197713448104,0.000111287947251672,0.009319461616830955,-0.04096666639209416,-0.002326941200227737,0.04427245331610363,-0.139047396146799,0.01569935917378414,0.01365269166066715,-0.103634021320327
41,0.14876138,-0.2086857302539621,0.0001552119149918781,0.008994670232100401,-0.04097444156654723,-0.002215990815608915,0.04260850602457244,-0.1395364830537685,0.01686835209393825,0.01225483914969765,-0.1068403942333381
46,0.16690301,-0.2143681227762182,0.0001998517443479049,0.008666463524150826,-0.04097074879728432,-0.002102610856873512,0.04090089240633933,-0.1399851185530926,0.01804424401241587,0.01091365278306897,-0.1100347490392907
51,0.18504465,-0.2199483567323131,0.0002451685307516113,0.00833599438699832,-0.0409551970468368,-0.001987551011205467,0.03915620425597406,-0.1403909031589721,0.01922532479249575,0.009629443715945539,-0.113206841197464
56,0.20318628,-0.2254387589209029,0.0002910965294500175,0.008002047173820739,-0.04092813827898001,-0.001870592931550666,0.03737358634862547,-0.1407532307297029,0.02041315581395302,0.008402390294468931,-0.1163690731409875
61,0.22132791,-0.230822003299614,0.000337593517015152,0.007666803549444972,-0.04089017401030068,-0.001751271010493347,0.03555218689872957,-0.1410693252533407,0.02160641673802931,0.007233293104766694,-0.119507526833465
66,0.23946954,-0.2361103259177419,0.000384683650691293,0.007328957305040571,-0.04083941448888512,-0.001629969372354815,0.03369209533571273,-0.1413366171436215,0.02280490041391339,0.006122330033874105,-0.1226372916521126
71,0.25761117,-0.2412919634170088,0.0004322703487314631,0.006989922509016435,-0.04077724109910185,-0.001506484256971393,0.03179154191187886,-0.141551898714925,0.02400701125106203,0.005070188402763493,-0.1257472737694628
76,0.2757528,-0.2463711892542288,0.0004803687291912647,0.006649053548575126,-0.0407061886016387,-0.001380682655578884,0.0298529620017634,-0.1417156061890646,0.02521355416778328,0.004076692379853315,-0.128841342635113
81,0.29389444,0.2513397997320094,-0.0005289669530131347,-0.006306435324077784,0.04062507792527666,0.001253130204387813,-0.02787523143450879,0.1418215182868177,-0.02642121466601294,-0.003142044404136816,0.1319139660972767
86,0.31203607,0.2561984550630795,-0.0005780400893666158,-0.00596282183507078,0.04053422388702987,0.001123418685269302,-0.02585848137051858,0.1418714448590414,-0.02763129733266327,-0.002266244099368098,0.1349662523587263
