timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,0.03151736080891208,0.01609520974068421,0.004410338857583049,0.01607934494560441,-0.01254826328839917,-0.02904524119907808,-0.053417582518239,0.01090692427019052,0.04014999460680539,0.03888663539376076
6,0.02176996,0.03540945197650068,0.01627240534777372,0.004420671854400851,0.01596845764695274,-0.01205954669461111,-0.02814534450932186,-0.05218575483639522,0.01244412492013049,0.03870345431455638,0.03999098393301469
11,0.03991159,0.03923102291754774,0.01644924276766837,0.004423727109549906,0.01586008174349888,-0.01156694020106079,-0.02723167890334911,-0.05095948134585265,0.01399765839355778,0.03718895905938695,0.0410694542941484
16,0.05805322,0.04297846363826698,0.01662497237374522,0.004417005654606892,0.01575081735064903,-0.0110692331873768,-0.02630658613021769,-0.0497357676538231,0.01556812655115068,0.03560350398605734,0.04212562469347541
21,0.07619485,0.04664964357205228,0.01680177060810975,0.004402249349986534,0.01564081811344795,-0.01057119903765992,-0.02537340021072265,-0.04852197948716672,0.01715837508194564,0.03395049928060279,0.0431625098735089
26,0.09433649,0.05023824019342849,0.0169780595348874,0.004377880405006127,0.01552911046390798,-0.01007164375898894,-0.02443221633487462,-0.0473165408362524,0.01876496538764858,0.03223020791477838,0.04417841741731598
31,0.11247812,0.05472834937128196,0.01715388369962721,0.004343766583905351,0.01541602088642563,-0.009572371041410071,-0.02348505122234551,-0.04513513077365662,0.02039030194836454,0.03044456564400087,0.04517236364637056
36,0.13061975,0.05814089312042034,0.01732842354135575,0.004300442502840611,0.01530316590565057,-0.009071676523238474,-0.02253179085806394,-0.04395536080629469,0.02202737286683299,0.02859696293618672,0.04614335355515081
41,0.14876138,0.06147046720290206,0.01750247567271254,0.004248832659780243,0.01519096431304514,-0.008571131460174096,-0.02157184563574012,-0.04278493395506772,0.0236767314214519,0.02668914936901731,0.04709022481787688
46,0.16690301,0.06472603979765709,0.01767685833661627,0.004188164687981203,0.01507819709225833,-0.008068729533033484,-0.02060235408157642,-0.04162534024595811,0.02533706204023351,0.02472616234027739,0.04801601916085841
51,0.18504465,0.06790013476075384,0.01785243572915174,0.004118950663739436,0.01496473917231924,-0.007567225690413716,-0.01962656547440427,-0.04047468579946788,0.02700632810744482,0.02270928907405936,0.04891686897832511
