timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,0.05410532167047152,-0.022429641918634658,-0.04977450773658945,-0.09299120233936493,0.013659324585648199,0.22564873578499067,0.24384566994515658,-0.06716118473436714,-0.04835101696366437,-0.14834085495270338
6,0.02176996,0.05627260580427659,-0.025094269176090346,-0.047282998681737284,-0.09222541724065145,0.01464066827592551,0.21961534904368826,0.2611008532727018,-0.0765826346733426,-0.040052279905256886,-0.15784666511096043
11,0.03991159,0.057029253115699535,-0.027789919957675345,-0.0448818507004813,-0.09145652920668224,0.015516227045121166,0.2134079709336686,0.278306352254552,-0.08611025437095612,-0.03237926484927358,-0.16758347803257373
16,0.05805322,0.05641009276972089,-0.03051472039777749,-0.04254286398642317,-0.0906641763979921,0.016280191901092016,0.20704226681675209,0.29544974141161956,-0.09575317450558987,-0.02532906300940844,-0.1775581090625517
21,0.07619485,0.054384604520628016,-0.0332720662477161,-0.04028138623164556,-0.08985031979117013,0.016935431442935404,0.20054409044075872,0.31252035518496163,-0.1055325468359777,-0.01890361909663904,-0.18777533434487925
26,0.09433649,0.05097226903412702,-0.0360592950505953,-0.03808075679133652,-0.08900900637954616,0.017476574084953168,0.1939155650404211,0.32948518872987165,-0.11543193101860144,-0.013103462162147451,-0.19822060741889203
31,0.11247812,0.02811074285055415,-0.03887585409704584,-0.035939731108307164,-0.08814323790736879,0.017903830413274407,0.18717000703332887,0.32827680030113277,-0.1254694967896937,-0.007929224608017217,-0.20888235038674918
36,0.13061975,0.021864648495806854,-0.04171942353705637,-0.033862075727148964,-0.08726249992474411,0.018210469402829495,0.18030614986645493,0.344927014115996,-0.1356074880308974,-0.0033821741813207834,-0.219745323488306
41,0.14876138,0.014211205283684497,-0.04459099026227416,-0.031854125900378484,-0.08636877226775186,0.01839678670502324,0.17331969998523813,0.3614178505617572,-0.14585232232607806,0.0005383932992381027,-0.2307953145110896
46,0.16690301,0.005104154821187867,-0.04749259411705759,-0.029908166956667547,-0.08545658572076548,0.01845513079054848,0.1661905339546374,0.37771662906878045,-0.1561996458249644,0.003834754999923095,-0.24203590137324651
51,0.18504465,-0.005426937623744882,-0.05042630386246419,-0.028026877277881453,-0.08452553037863222,0.018388711829093202,0.1589401266343208,0.3937948536200818,-0.16664003226210103,0.006509348942272503,-0.25344123486843434
56,0.20318628,-0.017435685336381596,-0.053387051441663065,-0.02620478756484077,-0.08357715850873394,0.018193729917052905,0.15156352600173334,0.4096355112424588,-0.17719070773065929,0.008564940100175155,-0.26503368735190475
61,0.22132791,-0.030896820386983992,-0.05636862317078158,-0.024447900115518048,-0.08261310902818161,0.017862321228682976,0.1440573125719873,0.4252283265794401,-0.18784414408526307,0.010005299356273093,-0.27677630372362316
66,0.23946954,-0.04587430468039727,-0.05937985181456841,-0.022750592806036113,-0.08163050843874194,0.01739541086586263,0.136418021367003,0.44054151758802346,-0.19860234491628895,0.010833906569691612,-0.28869986309534257
71,0.25761117,-0.06236171084861333,-0.06241157836948753,-0.02111590624229108,-0.08063298235771275,0.016788570435633143,0.12863643220763632,0.45554674752148105,-0.20945563719467364,0.011055949522771412,-0.30077330637197025
76,0.2757528,-0.08039245423451177,-0.0654671256312403,-0.019540753383420872,-0.07962603667743783,0.016037244833282154,0.1207207818956732,0.4702244278812812,-0.22041480068583266,0.010675695497358579,-0.3130018879641752
81,0.29389444,-0.09995133916313709,-0.06855052879908209,-0.018024135740980083,-0.07860823086802618,0.015145034695443472,0.112664640086936,0.48454506511850165,-0.23145517416256883,0.009698862820727796,-0.32536687231408884
86,0.31203607,-0.1210749294613615,-0.0716615797723378,-0.016567073563981585,-0.07758082016899637,0.01410478591635766,0.10446641156926245,0.49848881196686756,-0.24259043095630634,0.008131216281709696,-0.3378662507339368
91,0.3301777,-0.14372142870367227,-0.0747910922277549,-0.01516754423764862,-0.07654070439932036,0.01291550990297249,0.09613525898206293,0.5120437223863283,-0.25380832323380836,0.0059766397682489815,-0.35048489564475277
96,0.34831933,-0.16791988400772848,-0.07793995630653892,-0.013827113668975937,-0.07548972925916002,0.0115700419495211,0.08768211713197087,0.5252089858582061,-0.26513496087941446,0.003240738689882917,-0.3632300075232201
101,0.36646096,-0.19363545829059162,-0.08110978283880073,-0.012545125956425273,-0.0744253761012919,0.010072352301682106,0.07911918664671043,0.5379737322816799,-0.27656051583007996,-7.070164962700261e-05,-0.37608922714443915
106,0.3846026,-0.22085596072864608,-0.084299761169237,-0.011323564403276852,-0.07335190542745967,0.008429385587996153,0.07045746362293986,0.5503284428840336,-0.2880871835964037,-0.003949547347190679,-0.3890592908800478
111,0.40274423,-0.24956819809885228,-0.08751114006610705,-0.010154886092093314,-0.07226953867869793,0.006639138131112338,0.061688452829364665,0.5622426584019933,-0.29968873552225583,-0.00838339277992118,-0.40213075432224726
116,0.42088586,-0.279769048012816,-0.09074478945048575,-0.009041559598808861,-0.07117867457517814,0.0047054968157730056,0.0528115242617868,0.5736986045032475,-0.31136744594130705,-0.013361797140080657,-0.41529040688776286
121,0.43902749,-0.3114537075021224,-0.09399606821990321,-0.00798328207651312,-0.07008638782991403,0.002613193483690064,0.0438316275564976,0.5846808500952513,-0.3231115224412967,-0.018872902418263303,-0.42852921565167107
126,0.45716912,-0.34459714005229347,-0.09726611235659789,-0.006978123463927989,-0.06899135153761983,0.0003642938726859849,0.034750958294099424,0.5951793714902368,-0.3349283120205155,-0.02490790561613629,-0.44181995871451823
131,0.47531076,-0.3791774087905039,-0.1005515466477719,-0.006025372186448438,-0.0678935561063995,-0.0020413893634767025,0.025574966799133046,0.6051836365651014,-0.3468100284186293,-0.03145685280194163,-0.4551572666300709
136,0.49345239,-0.4151918136239084,-0.1038592861305085,-0.005125313539910167,-0.0667920652164876,-0.004602099070601554,0.016301178004227153,0.6146777698967786,-0.35875483581234535,-0.038508413775233126,-0.4685287479798278
141,0.51159402,-0.4525918400234768,-0.10717793956644062,-0.004276751801273957,-0.0656866548181678,-0.007319433704620939,0.006933443399683818,0.6236581301922849,-0.37073844088765645,-0.046050801397285505,-0.48193339144000025
146,0.52973565,-0.49136984732947814,-0.11051488380641365,-0.0034797436381209636,-0.06457900635197567,-0.010188119482483264,-0.0025159292451005953,0.6321185620697138,-0.3827483948519969,-0.054072859744585276,-0.49538947227851565
151,0.54787728,-0.5315032067478828,-0.11386933477121391,-0.002734628670443641,-0.0634708637571328,-0.013204607124430931,-0.012042138704026307,0.6400577691001329,-0.39480057293534193,-0.06255767619557119,-0.5088811536898549
156,0.56601892,-0.5730262168341042,-0.1172394403460588,-0.0020373981418608696,-0.06236301601380556,-0.016370826972108697,-0.02164157092829984,0.647452309425151,-0.4069046672198288,-0.07149687563657894,-0.5224247310007136
161,0.58416055,-0.6158809152987381,-0.12062166466493551,-0.0013905107895438038,-0.06125565358456881,-0.01968411417753868,-0.03130983621388126,0.6543069154156149,-0.419079876027443,-0.08087666774066032,-0.5359695075157817
166,0.60230218,-0.6600643146781731,-0.12401037675811645,-0.0007917879740529908,-0.06014887057545398,-0.02315420085519767,-0.04105684135856089,0.6606148123123216,-0.431314293662712,-0.09068623739050319,-0.5495165184158974
171,0.62044381,-0.7055847005475145,-0.1274138709591402,-0.00024106620058739079,-0.05904359580682254,-0.026784047215372152,-0.05087459103188918,0.6663643689405964,-0.4436012760240832,-0.10091687023453474,-0.5630737520156816
