timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.4877030398050408,-0.02296230863005297,-0.015014570613521521,-0.011825188118109198,0.010288952834799308,-0.03141402254803035,-0.29118477806303383,-0.014552268645434937,-0.09348729885491969,-0.017551557166737633
6,0.02176996,-0.48164016076787103,-0.023092393919852003,-0.014604016551618545,-0.011705650005003116,0.009923239998446694,-0.030361115193281538,-0.2886247486918658,-0.016412837429493607,-0.08877196090083209,-0.017990678074371123
11,0.03991159,-0.47550810276600075,-0.02322209033274984,-0.014196715298559379,-0.01158763123963681,0.009552505276893735,-0.029298638223596293,-0.28603228847836104,-0.018253677142473144,-0.0840521387208515,-0.018417428606666446
16,0.05805322,-0.4692948269702781,-0.023350356255934176,-0.013784326034938803,-0.01146867573226567,0.009175551408532693,-0.028229036445527926,-0.2834083379720667,-0.020076636880012128,-0.07931975472496226,-0.018833254333103
21,0.07619485,-0.4630343044939248,-0.023480270395414705,-0.013372359543300419,-0.011348866852846223,0.00879623849452369,-0.027156259379765887,-0.28076554178229046,-0.021886304986451506,-0.07458106309391255,-0.019239876954466738
26,0.09433649,-0.45671050888288667,-0.023609660389560954,-0.012955727344949475,-0.011227560021814685,0.008413232990539744,-0.026080708009323217,-0.27809910554132405,-0.02367915482332135,-0.06983504596465555,-0.019636779778477133
31,0.11247812,-0.45033658655462516,-0.023738579137665854,-0.012534238567761577,-0.011104988605854293,0.008028023871435938,-0.025004500881376627,-0.2754160592708172,-0.02545872207093152,-0.0650837244715092,-0.020023797420144793
36,0.13061975,-0.44388549694887075,-0.023865997692973106,-0.012109491610030896,-0.010982348866838926,0.007639062090985541,-0.0239276494976899,-0.27268708556433335,-0.027217420420124913,-0.06033419400458478,-0.020400371383280404
41,0.14876138,-0.4373822642021817,-0.023992995192284622,-0.011684067274875781,-0.010859884173620707,0.007247537888373025,-0.02284938526387447,-0.26993183446929353,-0.028956945948668208,-0.05558814298606871,-0.020766546781868622
46,0.16690301,-0.4308316160893557,-0.02412075903968531,-0.011255662889545305,-0.010736787246002452,0.006851620196623857,-0.02176769012352137,-0.2671487710338187,-0.030676377795821382,-0.050853873791889916,-0.02112331436569513
51,0.18504465,-0.4242354011556759,-0.02425045987119094,-0.010825598956577111,-0.010612939106030044,0.006453431225536414,-0.02068492366685065,-0.2643389716891171,-0.032374273174907785,-0.046132114817372796,-0.021469551099165908
56,0.20318628,-0.41759822218489717,-0.024379550613080433,-0.010392130236891312,-0.010488508070558558,0.006052547604417566,-0.019600778568134268,-0.2615041354297857,-0.03405417341902111,-0.04142317268685185,-0.021808320764991514
61,0.22132791,-0.4109247592929273,-0.024505679085005925,-0.009957965016455125,-0.01036361825074831,0.00564727920001321,-0.018514589756151664,-0.25864799374995745,-0.03571486260605603,-0.036729876516540146,-0.022137453512025822
66,0.23946954,-0.4042168652611416,-0.02463299912673659,-0.009521233823518008,-0.010237780653655701,0.005238733614933521,-0.017426053637503564,-0.2557681386299398,-0.03735689294214006,-0.032052431250064864,-0.022460068812516536
71,0.25761117,-0.39747023607982124,-0.024757935923865076,-0.009083629888969345,-0.010111448102311769,0.004826367293616795,-0.016333818773995614,-0.25286054036918676,-0.03897882360711209,-0.0273955669005885,-0.022774839807408936
76,0.2757528,-0.390690462429114,-0.024882132170321918,-0.008644170618145229,-0.0099851816039754,0.004409678631343279,-0.01523893107109496,-0.24992544452864318,-0.040582901837397635,-0.0227585508467315,-0.02308282838414746
81,0.29389444,-0.3838695420974041,-0.025007356582492934,-0.008202825331394728,-0.009858658962521503,0.003990317355824934,-0.014140419427264612,-0.24695853450347857,-0.04216476536777797,-0.01814380688412364,-0.02338349239417509
86,0.31203607,-0.37701816537623034,-0.025133449328383854,-0.007760421689206824,-0.009731974912433387,0.0035668962262923546,-0.013037939566509003,-0.24396363374207408,-0.043727600190726246,-0.01355269566171364,-0.02367734651147567
91,0.3301777,-0.3701293781861597,-0.02525738253614446,-0.007316418796252709,-0.009604712350478838,0.0031398264792546348,-0.011932351597097412,-0.240942173541353,-0.04526898752759708,-0.008983026433205452,-0.02396415188328537
96,0.34831933,-0.3632252769596183,-0.025379784338343883,-0.006871997297097674,-0.00947696577669031,0.002707922571041667,-0.010824994998778738,-0.23790423594167978,-0.04679423862384278,-0.004435628316681599,-0.024245354237545216
101,0.36646096,-0.35630542511446983,-0.02550139784857749,-0.006427339809961578,-0.009348322714008934,0.002272670740890195,-0.009717036168431586,-0.23485085394535532,-0.048301554713119574,8.884053316348695e-05,-0.024520431189068964
106,0.3846026,-0.34937679304100394,-0.025622107026946263,-0.005984020661605988,-0.009219185100615718,0.001835964738208684,-0.00860942878207979,-0.23178430683685947,-0.049791521255905316,0.004587371400718899,-0.024789559515918994
111,0.40274423,-0.34243367202168035,-0.025742552281916607,-0.005538618079767375,-0.009089544642324894,0.0013975365228025148,-0.007500939001979979,-0.2286998223887418,-0.051260239498822344,0.009053244067550856,-0.025052736718480666
116,0.42088586,-0.335481170131709,-0.025862922751510947,-0.005092863752493408,-0.008959375995670722,0.0009583939504426532,-0.006390898405069728,-0.22559878517692822,-0.05270826375357858,0.013483650025374296,-0.02531010427227431
121,0.43902749,-0.3285228908155788,-0.025982074515026637,-0.0046471216130478665,-0.00882945153612553,0.0005155399202108329,-0.005279638550655619,-0.22248008651383405,-0.054133787242999755,0.017875061029744118,-0.025561331793844243
126,0.45716912,-0.32155928317934285,-0.02610045055334873,-0.004200829282935614,-0.008699527901010844,6.968484380002113e-05,-0.0041671757243305135,-0.21934489145300887,-0.05553845533854908,0.022227630448891627,-0.025805268218850867
131,0.47531076,-0.3145901333265673,-0.026217355261746695,-0.003754088447684812,-0.008569462799843296,-0.00037898455550611676,-0.0030536052869838525,-0.21619335162168676,-0.056921128196046826,0.02654059115965933,-0.02604274831672833
136,0.49345239,-0.3076209337074954,-0.026334639389543415,-0.0033075617656079842,-0.008439105546184877,-0.0008299595761045417,-0.0019382376921358725,-0.2130280905183929,-0.05828204049489717,0.030812314276926562,-0.026273613001555167
141,0.51159402,-0.3006461474696888,-0.026449539335136125,-0.0028611379029843567,-0.008308326856302744,-0.0012833954042304073,-0.0008211058725221789,-0.2098487905344896,-0.0596178146500705,0.03504127162945224,-0.026497308543405155
146,0.52973565,-0.29367097885312865,-0.02656400622561597,-0.0024154454381033097,-0.008177341918876578,-0.0017382767799618887,0.0002968136344516118,-0.20665697696503907,-0.060926595926099544,0.039226619766608364,-0.026715769000492214
151,0.54787728,-0.2867082315796508,-0.026677919351094648,-0.0019714862832125495,-0.00804620269867522,-0.002194035581000397,0.0014154456824563826,-0.2034570337064495,-0.062211172771843536,0.04336360517795723,-0.026929432047788585
156,0.56601892,-0.2797541229496792,-0.02679091813238848,-0.0015270755110777109,-0.007914925144219242,-0.0026509664302149,0.002534840690098348,-0.2002471374482038,-0.06347373798859587,0.04745412360212289,-0.027138326587200463
161,0.58416055,-0.2728138548650356,-0.026902252161728493,-0.001084743045588786,-0.007783479772322183,-0.0031086617034480494,0.003654996611869769,-0.1970276826599492,-0.0647174032392049,0.051496254231757146,-0.027340883126420912
166,0.60230218,-0.265883796587298,-0.027010803009038995,-0.0006436366568780795,-0.007651810599877192,-0.003568701276404134,0.004777580885654609,-0.19379928183917797,-0.06594038883661431,0.055490091753669556,-0.027536847008631477
171,0.62044381,-0.2589700269251328,-0.027118538228070147,-0.0002044551706282785,-0.007520044400022107,-0.004031502702306835,0.005902087298223352,-0.19056517233607942,-0.06714190683306095,0.05943700209029746,-0.02772749664348583
176,0.63858544,-0.25207200995238155,-0.02722526810867978,0.000232896414071256,-0.00738808512780863,-0.004494853329926369,0.007028824615559078,-0.18732777238124615,-0.06831928306951468,0.06333600811693657,-0.02791447708177287
181,0.65672707,-0.24519040647972093,-0.027329951227969915,0.0006682126528949551,-0.007255982115025688,-0.004960097269006828,0.008157214269751164,-0.18408738231553334,-0.06947398108313259,0.0671883819524064,-0.028096821344105107
186,0.67486871,-0.23832568783854255,-0.02743372394611459,0.0011018180212919628,-0.007124081025622337,-0.005423980779408735,0.009287004170673659,-0.1808445930987759,-0.07060759602634772,0.07099306834295821,-0.028273603497197132
191,0.69301034,-0.23147952425397042,-0.02753635006086811,0.001533465265946271,-0.006992285690983201,-0.0058879131501076406,0.010418311472519431,-0.1775985664290225,-0.07171829165955895,0.07474791575692835,-0.028445809758824075
196,0.71115197,-0.22464776071140877,-0.027636554249985297,0.0019629290843208424,-0.006860570794583299,-0.006351424655131964,0.011551683460750868,-0.17434848652580412,-0.07280517169878967,0.07845178479802181,-0.028611950130207956
201,0.7292936,-0.21783734934091792,-0.027735513716254004,0.002389824016107234,-0.006729202759678037,-0.006816760517983526,0.012688216719713229,-0.17109660906334723,-0.07387054593815466,0.08210638846913049,-0.028773146550451437
206,0.74743523,-0.21104717561880304,-0.027831882226379074,0.002814644669245891,-0.006598147966819251,-0.007283133836336329,0.013826675254580777,-0.1678439373522843,-0.07491188492706506,0.08570897874546332,-0.028928487979209033
211,0.76557687,-0.2042821549569182,-0.02792645978931764,0.003237272303763031,-0.00646738103913393,-0.007749572878073144,0.014967761550304198,-0.16459772446782098,-0.07593339109730775,0.0892651296825862,-0.02907778922191823
216,0.7837185,-0.19754386560951104,-0.028020131553809998,0.0036576687117419746,-0.006336869553228866,-0.008215149098230713,0.016110639024717776,-0.16135564204451266,-0.07693143356913848,0.09276862142293513,-0.029221568949985167
