timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.5435763387030674,-0.01657668328209927,-0.01625579246564009,-0.02641980477708679,0.01426433793817032,-0.06658912807703592,-0.32809119665980235,-0.007686671155340054,-0.0932164234464455,-0.003004976777787779
6,0.02176996,-0.5451150959828375,-0.0166191176633515,-0.01616174049915677,-0.02646322623401287,0.013786167992050763,-0.06538002818639176,-0.3323996306979119,-0.008650705750405194,-0.09123961088938289,-0.0019872040542753587
11,0.03991159,-0.5460229974748839,-0.01665354485766084,-0.016052409889491876,-0.026505892055119218,0.013294279263154329,-0.0640783156843866,-0.3365743312971676,-0.009596311846453487,-0.08897524032104784,-0.0008812307867107103
16,0.05805322,-0.546271243287579,-0.016679095865402217,-0.01591821800447645,-0.026542227894123666,0.01278716718173171,-0.06268750049025272,-0.3406078963257434,-0.010523559814484936,-0.08641223594592934,0.00031232387110189384
21,0.07619485,-0.5458905461064125,-0.01669787665376008,-0.015765104287409466,-0.02657244386014658,0.01227083634104216,-0.06121613481378002,-0.34451416439879107,-0.011433615522996035,-0.08355473896148487,0.0015926960509135423
26,0.09433649,-0.5448530605835721,-0.01670833131700949,-0.015586837694420663,-0.026594763381164874,0.011744213148183691,-0.059663415260370674,-0.3482799267108793,-0.01232384524619446,-0.08039947781026263,0.002959323688546339
31,0.11247812,-0.5440790805821999,-0.01671038198825221,-0.015382748015137372,-0.026609816065385886,0.011209679910588183,-0.05803425297378167,-0.3528204026108024,-0.013195047912676047,-0.07694701861877193,0.004410907692019408
36,0.13061975,-0.5416774418683119,-0.01670326439113621,-0.015154267462944584,-0.02662040750178732,0.010665529271718733,-0.056328044766341415,-0.3562371773255462,-0.014042351124177524,-0.07320415003475438,0.0059466914666569766
41,0.14876138,-0.5386193363949974,-0.016687723893260113,-0.01490440549358262,-0.026627238463052805,0.010114145566493723,-0.05454352223206377,-0.3594972178535437,-0.014865859140559223,-0.06917204523497948,0.007564530349550578
46,0.16690301,-0.5349013380350173,-0.016664539972153444,-0.01462996572543638,-0.02662824089196916,0.009553604150036251,-0.05267414089057073,-0.36259614541206936,-0.015664410432579157,-0.06486104388159669,0.009263545021321372
51,0.18504465,-0.5305236691284498,-0.016634496270610657,-0.014332423101765655,-0.02662322243786464,0.008987449311665101,-0.050726868774923294,-0.36552603901984937,-0.016436337854964556,-0.06027244372228252,0.011040712742145733
56,0.20318628,-0.5254825835099217,-0.01659580882994667,-0.01400921206121713,-0.02661246590344125,0.008415714758473103,-0.04869984285136447,-0.36828657211975746,-0.017182901994149884,-0.05540704774594899,0.012895553237431077
61,0.22132791,-0.5197894399976436,-0.016546919575647173,-0.013663756164275306,-0.026596359656326885,0.007836670899297054,-0.046593207977000534,-0.37087758087759215,-0.017902809017252296,-0.05026996762588874,0.014824489997042438
66,0.23946954,-0.5134329683863423,-0.016490651438760943,-0.013293373857589915,-0.02657369906734846,0.0072526121740365155,-0.044405238084787864,-0.37329184799156084,-0.018595716092128116,-0.04486292147233315,0.016827867444130454
71,0.25761117,-0.5064092300181245,-0.016424615963654902,-0.012900218019748626,-0.026545445870569506,0.006663360250978469,-0.04213358354928257,-0.3755165493528896,-0.01926056346088105,-0.03919374809141829,0.018902134039341486
76,0.2757528,-0.4987278194529731,-0.016349991984694324,-0.012482842563855533,-0.026513254460381597,0.006068985818409681,-0.03978101090708316,-0.37755396542862796,-0.019897660886643947,-0.03326391092491847,0.021045831884822157
81,0.29389444,-0.4903747627875666,-0.016267990115898745,-0.012041056491720898,-0.026476329745871375,0.0054724315494944446,-0.037345196261376334,-0.3793885062317922,-0.020504762659853366,-0.027079337396330217,0.02325598456578212
86,0.31203607,-0.48136709085368246,-0.01617855066165291,-0.011576009229022497,-0.02643485146203087,0.004872624257596239,-0.03482650196387395,-0.3810265836505542,-0.021082783487869527,-0.020644819545326314,0.025530384889051592
91,0.3301777,-0.47169575912518164,-0.01607974100660911,-0.011086861682807996,-0.026387759612455427,0.004270711925049908,-0.03222774773183938,-0.38246012104577976,-0.02163009312208496,-0.013960007452228761,0.027865860603573874
