timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.43085865692357245,-0.049078381149800274,-0.032352045015766634,-0.05524887569296474,-0.001974086425677743,0.12175914659392066,0.18642225304283586,-0.047217174481092035,-0.41724507931916077,-0.13592441447586678
6,0.02176996,-0.43424417436387885,-0.04975114880132787,-0.031870793931552156,-0.05502463188704641,-0.0020210933243161966,0.1179500152741045,0.1776461531188425,-0.05378247145112079,-0.3971945410339804,-0.14019566232748204
11,0.03991159,-0.4373264414534306,-0.050427010477053544,-0.031371619740539654,-0.05480551524679391,-0.002056931545129803,0.11409762268917709,0.1690925260134714,-0.060402497875239804,-0.3770433170439427,-0.14440969822737962
16,0.05805322,-0.4400454022977618,-0.05110377181390136,-0.030836368657034038,-0.054579986587596045,-0.002081702132905864,0.1102086212627169,0.16075522264449457,-0.06708051303234407,-0.35675020126012474,-0.14857670272106713
21,0.07619485,-0.4424487125760952,-0.05178792290088269,-0.030277437685413456,-0.05434843837820285,-0.002095866780975215,0.10629710336494305,0.1526461181728337,-0.07383165673741317,-0.3363413469885855,-0.1527092646423991
26,0.09433649,-0.4444894291460758,-0.05247480912755572,-0.029683440648360603,-0.05410740646780459,-0.0020994151523565895,0.10236142403467267,0.1447633404479615,-0.08064185054342039,-0.31580613614997083,-0.15680113553924122
31,0.11247812,-0.44576530895656435,-0.05316444648976124,-0.029053942755209478,-0.05385815699116549,-0.0020930204814814057,0.09840984312371193,0.1375138996195441,-0.08752206803983657,-0.29514979782162687,-0.16084761912073936
36,0.13061975,-0.4471213127205863,-0.053854371851982184,-0.028392451753091685,-0.0536063547064168,-0.00207613868651709,0.09444087218257843,0.13005875751307905,-0.09444512091058149,-0.2743997588867986,-0.16484674562085594
41,0.14876138,-0.4481589467993974,-0.05454700501064789,-0.027705169763693676,-0.05335365440241418,-0.0020489781391593185,0.09045029735706325,0.1228128124993463,-0.1014144752986278,-0.25355930981724206,-0.168793464224022
46,0.16690301,-0.448914099200592,-0.0552449103650257,-0.026986709095778987,-0.05309572234327088,-0.002011484649313881,0.08642544221452324,0.1157859206233605,-0.1084260941053559,-0.23266230153974324,-0.17269823993998715
51,0.18504465,-0.4493660380037166,-0.0559508059406659,-0.026240294057444023,-0.052832195390650746,-0.001964094867196334,0.08237697934857552,0.10897391634235758,-0.115472718442227,-0.2117086932795721,-0.1765481317168936
56,0.20318628,-0.4495411864916752,-0.05665882179964585,-0.02546173768853569,-0.05256348982044111,-0.0019068104740401417,0.07830163878298953,0.10237526720109431,-0.12256542357584067,-0.19069425615211963,-0.18036755296513587
61,0.22132791,-0.44943295414141043,-0.05736341890949965,-0.024657659583712358,-0.05229049762121383,-0.0018390035365811928,0.074194803169909,0.0959893335431528,-0.12969878751939667,-0.1696295463845824,-0.18413817729948606
66,0.23946954,-0.44907553907935416,-0.058074111473241055,-0.023823613999988762,-0.05201062785404956,-0.0017611847278175957,0.07005547522476345,0.08980832613435553,-0.1368730281161803,-0.1485113229970683,-0.18788545127012757
71,0.25761117,-0.4484686359421204,-0.05878238332171083,-0.022963764089888254,-0.05172587171928288,-0.0016731479177523648,0.06587619587222603,0.08383499222265567,-0.1440820265814029,-0.12735645700271414,-0.1915961734042507
76,0.2757528,-0.44762354595147286,-0.05949206630270345,-0.02207579430993664,-0.05143930549432412,-0.0015746530933087304,0.06166038884143682,0.07806687383541237,-0.15133151164069433,-0.10615840865872726,-0.19527906912862747
81,0.29389444,-0.44653737139801475,-0.06020727142685082,-0.02115955107506367,-0.051149126669634296,-0.001466289555659268,0.05740287782635995,0.07249977754021479,-0.15860502109232325,-0.08492478289081974,-0.19892798405423845
86,0.31203607,-0.44522532274357907,-0.06092756335066265,-0.02021726499176279,-0.0508557868531038,-0.0013476654401457626,0.05310158870250235,0.06713922798396686,-0.1659118972652439,-0.06365833499916156,-0.20254762652996786
