timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,0.9090042660286386,0.009864431928986112,0.010835231683042292,0.05193159719464114,0.006408603139775406,0.012640650950179353,0.7930389227165454,0.0034904212230742,-0.005592978443426308,0.026387385635820992
6,0.02176996,0.9038260795826556,0.009958688649849695,0.010469521808748168,0.05172397845829192,0.00620790270431712,0.012263137366112191,0.787594632669533,0.003900315929998619,-0.005931897247098504,0.027639799242903423
11,0.03991159,0.8986324027712207,0.010052294516819552,0.010111725879066672,0.05152278922678857,0.006002015694869546,0.011878400785232512,0.7820621950474645,0.004296615184310841,-0.0061978307173478605,0.028904197154016233
16,0.05805322,0.8934079174710239,0.010144789927748333,0.009755731554129059,0.05131691503622637,0.005790066873774827,0.011487266063357563,0.7764425730233018,0.004679679606998294,-0.006391219980431669,0.030182115365919273
21,0.07619485,0.8882009180820651,0.010237483126025093,0.009405285417728266,0.05110681753012625,0.005574468487351743,0.011091426510464209,0.7707737106161324,0.005050399079110756,-0.006513615664354969,0.03147494297948137
26,0.09433649,0.8829847975970726,0.010329379833339803,0.009056726745620096,0.05088922080770395,0.005354386843371432,0.010691063068839038,0.7650413360507177,0.005407843055928046,-0.006565973220255651,0.03278081441180821
31,0.11247812,0.8759690251143173,0.010420572238537162,0.008709849015479667,0.050665312597290464,0.005130714821166963,0.010286993968589554,0.7574544227786776,0.005752655233676055,-0.0065495572540943,0.03409806171499418
36,0.13061975,0.8707271677448297,0.010510423438383982,0.008365599522630603,0.05044017480213407,0.004902444785587778,0.009879415765300919,0.7515872786960549,0.006082996893088721,-0.00646595488320892,0.03542478872485767
41,0.14876138,0.8654633848832662,0.010599417093371765,0.008025668842433407,0.05021494002220008,0.004670390030403387,0.00946820420707259,0.7456426089489108,0.006399095067376893,-0.006316378535591616,0.03675943920708902
46,0.16690301,0.860167288285347,0.01068809310659937,0.007688368079501178,0.04998574274730826,0.0044332422797528186,0.009051993788366144,0.7396194882282131,0.006700608055254213,-0.006103253824580685,0.038103005824932694
51,0.18504465,0.8548389224091173,0.010776917234383242,0.0073544661683067536,0.049752148185166045,0.004192381199542425,0.008632139100175545,0.7335193169475982,0.00698703971901447,-0.0058278733111004856,0.03945238716603103
